,product_name,package_size,suppression_used,Units Reimbursed,Number of Prescriptions,Total Amount Reimbursed,Medicaid Amount Reimbursed,Non-medicaid Amount Reimbursed
27,AACETAMINP,2,0,8460.0,498.0,6875.78,6865.719999999999,10.06
28,ABACAVIR 3,302,0,5570.0,82.0,4341.01,4218.49,122.52
29,ABACAVIR O,48,0,22642.0,39.0,12324.380000000001,12324.380000000001,0.0
30,ABACAVIR S,66,0,6702.0,130.0,10795.13,10697.61,97.52
31,ABACAVIR T,120,0,2719.0,65.0,2410.8900000000003,2410.8900000000003,0.0
32,ABACAVIR-L,4,0,9763.0,262.0,23945.22,23945.22,0.0
33,ABILIFY,169,0,34308.0,804.0,630021.54,593325.8,36695.74
34,ABILIFY MA,764,0,24416.506,24364.0,60309479.34,60011659.19,297820.15
35,ABIRATER A,1,0,780.0,13.0,59884.36,59884.36,0.0
36,ABIRATERON,601,0,77863.0,781.0,1847464.04,1845304.25,2159.79
37,ABRAXANE 1,200,0,1837.74,916.0,1755523.12,1673972.68,81550.44
38,ABSORICA C,93,0,1860.0,39.0,74948.97,72680.9,2268.07
39,ABSORICA L,217,0,27210.0,529.0,1137026.58,1120197.3900000001,16829.19
40,ACAMPROSAT,252,0,669581.0,4022.0,384629.42,380677.13,3952.29
41,ACARBOSE 1,72,0,75596.0,526.0,26638.12,26428.08,210.04000000000002
42,ACARBOSE 2,71,0,99886.0,704.0,25491.85,25203.97,287.88
43,ACARBOSE 5,70,0,112380.0,754.0,28829.32,28739.010000000002,90.31
44,ACARBOSE T,36,0,280044.0,2053.0,80856.68,80586.20000000001,270.48
45,ACCRUFER/3,120,0,4890.0,53.0,41959.03,41593.95,365.08
46,ACCUTANE 1,60,0,1770.0,44.0,9945.75,9927.45,18.3
47,ACCUTANE 2,90,0,7140.0,167.0,27686.37,27545.620000000003,140.75
48,ACCUTANE 3,120,0,20190.0,409.0,115130.98000000001,110160.20999999999,4970.77
49,ACCUTANE 4,90,0,14400.0,318.0,100082.54999999999,97160.68000000001,2921.87
50,ACEBUTOLOL,3,0,4930.0,60.0,4275.95,4236.36,39.59
51,ACETAM 650,64,0,726.0,45.0,644.75,644.75,0.0
52,ACETAMIN T,6,0,186.0,174.0,155.49,155.49,0.0
53,ACETAMINOP,6182,0,13890990.8,211376.0,5216988.48,2301360.1900000004,2915628.29
54,ACETAZOLAM,254,0,714365.3,7614.0,266172.62,261130.58000000002,5042.04
55,ACETIC ACI,168,0,290987.0,3813.0,153364.15000000002,151715.24,1648.9099999999999
56,ACETYLCYST,392,0,250896.0,1553.0,340980.89,334278.43,6702.46
57,ACID GONE,148,0,114910.0,509.0,7928.79,7928.79,0.0
58,ACITRETIN,436,0,16825.0,366.0,124300.97,121144.22,3156.75
59,ACTEMRA 20,4,0,4029.85,265.0,497495.39,411365.76,86129.63
60,ACTEMRA 40,4,0,14013.8,804.0,1483475.89,1362789.2,120686.69
61,ACTEMRA 80,4,0,5212.15,460.0,549903.04,512670.51999999996,37232.52
62,ACTEMRA PE,2,0,2625.3,957.0,3289979.29,3266308.02,23671.269999999997
63,ACTEMRA SC,2,0,1460.7,506.0,1820813.6600000001,1784889.63,35924.03
64,ACTIMMUNE,22,0,468.0,78.0,4666034.84,4666034.84,0.0
65,ACTIVASE,13,0,21.0,19.0,31776.93,31776.93,0.0
66,ACULAR .5%,20,0,531.0,109.0,14693.119999999999,14693.119999999999,0.0
67,ACULAR LS,10,0,195.0,39.0,11497.8,11497.8,0.0
68,ACUVAIL 0.,62,0,348.0,28.0,10021.32,10021.32,0.0
69,ACYCLOVIR,1929,0,4749171.727,90868.0,2030592.7000000002,2014873.9500000002,15718.75
70,ADAKVEO VI,244,0,2896.0,85.0,793018.28,777460.57,15557.71
71,ADAPALENE,1250,0,731220.0,15967.0,1518186.63,1494702.5299999998,23484.1
72,ADAPALENE-,6,0,13635.0,296.0,11923.03,11817.32,105.71000000000001
73,ADAPALENE/,90,0,2250.0,49.0,4780.09,4658.37,121.72
74,ADBRY  1 C,4,0,442.0,97.0,383589.12,372678.48,10910.64
75,ADBRY  2 C,8,0,862.0,204.0,753290.15,753290.15,0.0
76,ADCETRIS,4,0,514.5,237.0,6099046.41,5492260.0600000005,606786.3500000001
77,ADCIRCA  T,120,0,6587.0,115.0,459365.39,439062.11,20303.28
78,ADDED STRE,59,0,851.0,16.0,214.94,214.94,0.0
79,ADDERALL T,10,0,99117.0,1790.0,456381.06,435785.83999999997,20595.22
80,ADDERALL X,12,0,466344.0,13088.0,2315247.74,2259657.85,55589.89
81,ADEFOVIR D,16,0,3090.0,62.0,92462.23999999999,87093.82,5368.42
82,ADEMPAS 0.,2,0,3743.0,43.0,540220.88,540220.88,0.0
83,ADEMPAS 1.,2,0,3258.0,46.0,468354.16000000003,468354.16000000003,0.0
84,ADEMPAS 1M,2,0,7347.0,93.0,1058130.8399999999,1058130.8399999999,0.0
85,ADEMPAS 2.,2,0,27327.0,303.0,3862872.51,3827820.01,35052.5
86,ADEMPAS 2M,2,0,7359.0,87.0,1051738.32,1051738.32,0.0
87,ADENOSINE,162,0,28977.569,1343.0,86007.95,41076.6,44931.35
88,ADLYXIN 20,2,0,84.0,13.0,9648.97,9648.97,0.0
89,ADMELOG SO,15,0,588579.0,30398.0,7488768.359999999,7480878.95,7889.41
90,ADMELOG VI,40,0,292018.15,12519.0,3066996.67,2953399.9399999995,113596.73
91,ADRENALIN,108,0,3412.5999999999995,1919.0,351957.78,41331.24,310626.54000000004
92,ADRIAMCYIN,1,0,1595.0,34.0,0.0,0.0,0.0
93,ADVAIR DIS,4,0,974532.0,10956.0,6688824.029999999,6097236.62,591587.41
94,ADVAIR HFA,330,0,197240.0,14570.0,7002519.6899999995,6663268.7,339250.99
95,ADVATE 2ML,16,0,2127619.0,318.0,3522563.73,3515628.4,6935.33
96,ADVATE 5ML,60,0,8740419.0,317.0,13911639.97,13845846.450000001,65793.52
97,ADYNOVATE,7,0,5104947.0,290.0,10920701.809999999,10920701.809999999,0.0
98,ADZENYS XR,330,0,6898.0,212.0,105564.08,97187.48999999999,8376.59
99,AFINITOR D,306,0,5146.0,121.0,3180870.63,3024221.93,156648.7
100,AFINITOR T,204,0,3236.0,93.0,2059840.44,1839913.06,219927.38
101,AFREZZA 18,36,0,15120.0,68.0,179566.23,179566.23,0.0
102,AFREZZA 90,360,0,17280.0,129.0,218088.66999999998,207844.45,10244.220000000001
103,AFREZZA IN,216,0,44280.0,254.0,282731.70999999996,282731.70999999996,0.0
104,AFREZZA180,36,0,39600.0,179.0,376674.99,376674.99,0.0
105,AG HYOSCYA,1,0,931.0,16.0,319.77,311.12,8.65
106,AHP AZITHR,130,0,165.0,90.0,486.12,486.12,0.0
107,AHP CALCIT,11,0,25.0,13.0,6.36,6.36,0.0
108,AHP DOXYCY,380,0,412.0,383.0,5187.24,1735.26,3451.98
109,AHP POTASS,1,0,50.0,14.0,34.1,34.1,0.0
110,AHP QUETIA,23,0,158.0,77.0,153.3,153.3,0.0
111,AHP SULFA/,1,0,16.0,16.0,1.31,1.31,0.0
112,AIMOVIG  E,4,0,9090.0,7704.0,6524173.95,6256658.6899999995,267515.26
113,AIRDUO 113,12,0,31.95,71.0,27899.93,27578.55,321.38
114,AIRDUO DIG,36,0,154.8,302.0,154721.09,154226.57,494.52
115,AJOVY  FRE,64,0,9760.0,5066.0,4325017.07,4169947.65,155069.41999999998
116,AJOVY 225M,20,0,2646.5,1468.0,1199084.6800000002,1175974.05,23110.629999999997
117,AK-FLUOR,10,0,20.0,20.0,260.48,260.48,0.0
118,AKOVAZ  EP,3,0,56.0,54.0,5960.71,571.55,5389.16
119,AKOVAZ-EPH,8,0,66.0,58.0,825.36,825.36,0.0
120,AKYNZEO,2,0,49.0,41.0,34324.6,34324.6,0.0
121,AKYNZEO IV,2,0,121.0,121.0,41716.73,38102.86,3613.87
122,AKYNZEO LI,3,0,3420.0,171.0,147309.73,146372.86,936.87
123,ALAWAY  KE,10,0,39430.0,3516.0,63554.95,63551.28,3.67
124,ALBENDAZOL,168,0,13314.0,1204.0,118804.56,118470.53,334.03
125,ALBU SUL H,240,0,1174380.6,153350.0,5431920.8100000005,5350259.3,81661.51000000001
126,ALBUKED 25,45,0,10802.0,50.0,10444.66,10444.66,0.0
127,ALBUMIN 25,8,0,19802.0,124.0,43406.68,42674.3,732.38
128,ALBUMIN HU,262,0,72121.0,372.0,73179.23000000001,67498.18000000001,5681.05
129,ALBUMINEX,7,0,84.0,28.0,5227.84,5227.84,0.0
130,ALBUTEIN 2,15,0,27102.0,266.0,36266.8,34852.119999999995,1414.68
131,ALBUTEIN 5,3,0,36521.0,29.0,5573.150000000001,5573.150000000001,0.0
132,ALBUTEIN F,22,0,7000.0,75.0,3856.12,3856.12,0.0
133,ALBUTEROL,6189,0,40412682.244,1125732.0,42431802.81999999,42006001.1,425801.72
134,ALCAINE,60,0,239.0,140.0,1805.8200000000002,1805.8200000000002,0.0
135,ALCLOMETAS,411,0,144360.0,2716.0,150502.21000000002,144755.74,5746.469999999999
136,ALCON TEAR,144,0,390.0,26.0,878.27,878.27,0.0
137,ALDURAZYME,2,0,4250.0,37.0,866051.9299999999,866051.9299999999,0.0
138,ALECENSA 1,2,0,66428.0,273.0,4757321.07,4732200.07,25121.0
139,ALENDRONAT,839,0,560381.571,61342.0,943792.5,942080.02,1712.48
140,ALFENTA 2M,2,0,24.0,24.0,84.64,84.64,0.0
141,ALFUZOSIN,669,0,178809.0,3336.0,60468.95999999999,60356.72,112.24
142,ALIMTA,4,0,265.8,136.0,365452.65,269216.0,96236.65
143,ALISKIREN,60,0,1260.0,28.0,8381.6,8381.6,0.0
144,ALKINDI SP,200,0,5402.0,63.0,141927.63,135289.34,6638.29
145,ALL DAY AL,184,0,157333.0,1211.0,14920.25,14918.51,1.74
146,ALLERCHLOR,22,0,117374.0,2038.0,22052.04,22052.04,0.0
147,ALLERGY RE,688,0,59182.167,711.0,10817.0,10817.0,0.0
148,ALLOPURINO,930,0,4606274.994,68579.0,1082564.62,1080294.79,2269.83
149,ALMACONE D,332,0,1489512.167,3254.0,46632.19,46632.19,0.0
150,ALMOTRIPTA,404,0,8340.0,692.0,169413.90000000002,167745.49,1668.41
151,ALOGLIPTIN,1667,0,1687127.0,28633.0,8347802.44,8331430.120000001,16372.32
152,ALOMIDE,20,0,340.0,32.0,6961.17,6381.6,579.5699999999999
153,ALOXI .25M,4,0,554.0,118.0,8808.52,1431.9,7376.620000000001
154,ALPHAGAN P,130,0,54785.0,6597.0,2111773.62,2088902.96,22870.660000000003
155,ALPHANATE,11,0,1891791.0,97.0,2084906.8599999999,2023696.32,61210.54
156,ALPRAZOLAM,2836,0,4883323.0,98731.0,1234773.4,1223622.51,11150.89
157,ALPROLIX 1,2,0,140546.0,29.0,525717.18,525717.18,0.0
158,ALPROLIX 2,2,0,203500.0,33.0,1033633.44,1033633.44,0.0
159,ALPROLIX 3,2,0,696277.0,42.0,2966089.76,2966089.76,0.0
160,ALPROLIX 4,2,0,596832.0,43.0,2413176.37,2359273.16,53903.21
161,ALPROLIX 5,1,0,50976.0,17.0,212712.61,212712.61,0.0
162,ALREX  LOT,30,0,4630.0,766.0,257636.19999999998,255292.7,2343.5
163,ALTAVERA O,85,0,36000.972,524.0,9927.08,9913.9,13.18
164,ALTRENO LO,130,0,7295.0,194.0,20231.84,19983.949999999997,247.89
165,ALUM-MAG H,2,0,49.0,34.0,173.34,173.34,0.0
166,ALUMINUM H,248,0,480966.333,1301.0,18568.42,18568.42,0.0
167,ALVESCO IN,5,0,219927.1,17596.0,8148823.12,7806607.909999999,342215.20999999996
168,ALYMSYS  B,2,0,824.0,58.0,244253.48,244253.48,0.0
169,AMANTADINE,546,0,660426.0,5708.0,186222.3,184052.75,2169.55
170,AMBIEN 10M,62,0,1942.0,64.0,31505.28,31505.28,0.0
171,AMBISOME L,90,0,2850.56,363.0,684182.77,572369.0800000001,111813.69
172,AMBRISENTA,748,0,65390.0,2066.0,2061556.91,2054162.87,7394.040000000001
173,AMELUZ,2,0,70.0,35.0,8395.58,7866.28,529.3
174,AMETHYST 0,56,0,4592.0,77.0,6242.219999999999,6242.219999999999,0.0
175,AMETHYST 9,24,0,784.0,17.0,1264.16,1222.15,42.01
176,AMIDATE  E,2,0,60.0,53.0,82.36,82.36,0.0
177,AMIKACIN 1,116,0,1149.6,87.0,8839.23,8234.630000000001,604.6
178,AMIKACIN 5,82,0,3232.6,71.0,20523.71,20523.71,0.0
179,AMIKACIN S,11,0,1052.8000000000002,77.0,12039.31,11827.49,211.82
180,AMILORIDE,11,0,58889.6,700.0,18792.81,18545.92,246.89000000000001
181,AMINO ACID,0,0,3918601.51,1771.0,1015302.03,1015302.03,0.0
182,AMINOCAPRO,201,0,121380.11499999999,527.0,403737.02,395734.54000000004,8002.4800000000005
183,AMINOPHYLL,50,0,954.0,137.0,11728.960000000001,1322.81,10406.15
184,AMINOSYN I,17,0,54860.2,21.0,12423.6,12423.6,0.0
185,AMIODARONE,847,0,810343.3,13387.0,317729.35,317055.38,673.97
186,AMITIZA  L,240,0,15083.0,207.0,85758.57999999999,83956.3,1802.28
187,AMITRIPTY,19,0,184613.0,3587.0,57409.72,57304.19,105.53
188,AMITRIPTYL,1444,0,4072105.0,76831.0,1146372.42,1143193.05,3179.37
189,AMJEVITA,9,0,1212.0,542.0,2978009.1900000004,2362829.1199999996,615180.07
190,AMLOD/OLME,560,0,13982.0,349.0,24514.9,24173.27,341.63
191,AMLODIP BE,12,0,175139.0,3007.0,51532.21,51346.06999999999,186.14
192,AMLODIPINE,6070,0,34851160.952,582822.0,7525766.16,7512788.4,12977.759999999998
193,AMNESTEEM,558,0,60030.0,1380.0,181863.88,180191.23,1672.65
194,AMOCLAN 20,202,0,56252.0,316.0,6978.29,6903.73,74.56
195,AMOCLAN 40,252,0,858559.2,5897.0,130010.51000000001,129156.78,853.73
196,AMOCLAN 60,182,0,76987.2,563.0,12863.89,12623.91,239.98000000000002
197,AMOCLAN OR,48,0,51869.2,267.0,6124.71,6106.6,18.11
198,AMONDYS 45,4,0,15790.0,165.0,12634070.870000001,12634070.870000001,0.0
199,AMOX & CLA,47,0,2600.0,19.0,368.62,368.62,0.0
200,AMOX C XR,242,0,25729.0,1032.0,154345.0,150756.91,3588.09
201,AMOX CLAV,722,0,4131981.84,130632.0,2214502.94,2190787.46,23715.480000000003
202,AMOXIC CLA,4,0,79975.0,4639.0,85398.26,85255.45,142.81
203,AMOXICI CL,3,0,138199.0,6753.0,123718.42000000001,123442.72,275.7
204,AMOXICILLA,252,0,753566.0,4572.0,72027.92,71828.08,199.84
205,AMOXICILLI,8716,0,75472154.03,956032.0,14828612.07,14746231.78,82380.29000000001
206,AMOXICLLIN,505,0,13547027.5,78696.0,1242585.9100000001,1225466.7999999998,17119.11
207,AMPHETAMIN,69,0,2052752.0,44846.0,1218332.73,1202279.7999999998,16052.93
208,AMPHOTERIC,1,0,14.4,12.0,2208.0,2208.0,0.0
209,AMPICILLIN,1806,0,92865.354,4429.0,491832.87,253004.13,238828.74
210,AMPYRA,120,0,2040.0,28.0,123260.47,123260.47,0.0
211,AMZEEQ,6,0,4260.0,142.0,69471.59,67147.79000000001,2323.8
212,AMZEEQ FOA,60,0,31550.0,1023.0,516040.53,507630.97,8409.560000000001
213,ANAGRELIDE,124,0,19012.0,181.0,23194.98,23194.98,0.0
214,ANASTRAZOL,98,0,163283.0,2342.0,39063.16,38600.58,462.58000000000004
215,ANASTROZOL,530,0,429037.0,8146.0,131703.46,131491.84,211.62
216,ANDRODERM,180,0,12487.0,311.0,199021.37000000002,184041.88,14979.489999999998
217,ANDROGEL 1,66,0,9551.0,92.0,76870.22,75122.48,1747.74
218,ANECTINE,380,0,913.0,136.0,2139.4300000000003,2139.4300000000003,0.0
219,ANECTINE 2,520,0,3654.0,703.0,6706.1900000000005,6706.1900000000005,0.0
220,ANGELIQ 0.,12,0,3892.0,73.0,26696.67,24679.43,2017.24
221,ANNOVERA,2,0,547.141,546.0,1222880.1400000001,1214950.22,7929.92
222,ANORO ELLI,52,0,584968.0,8839.0,4397964.890000001,4359382.050000001,38582.84
223,ANTACID /,166,0,636629.984,1855.0,24236.06,24231.34,4.72
224,ANTACID EX,41,0,2373.0,21.0,291.0,291.0,0.0
225,ANTACID RS,332,0,1726878.368,4833.0,62019.89,61995.67,24.22
226,ANTACID TA,160,0,8280.0,96.0,1226.1799999999998,1226.1799999999998,0.0
227,ANTI DIARR,52,0,20280.0,155.0,2405.66,2405.66,0.0
228,ANTI-DIARR,244,0,141726.0,5004.0,67661.08,67661.08,0.0
229,ANTIFUNGAL,58,0,1050.0,34.0,498.51,498.51,0.0
230,ANTIVERT,1,0,1052.0,34.0,4093.92,4093.92,0.0
231,ANUSOL-HC,60,0,1200.0,32.0,1119.3200000000002,1119.3200000000002,0.0
232,APAP 160MG,52,0,23469.0,173.0,1295.59,1295.59,0.0
233,APAP 325MG,60,0,42532.0,512.0,6357.63,6357.63,0.0
234,APAP ARTHR,103,0,382752.0,5187.0,76052.98000000001,76052.98000000001,0.0
235,APAP CHERR,655,0,380.0,303.0,1821.47,1821.47,0.0
236,APAP CHILD,20,0,384747.15,2721.0,38271.94,38270.44,1.5
237,APAP ES 50,1708,0,7371850.0,108845.0,1312867.78,1238008.4300000002,74859.35
238,APAP WITH,32,0,79166.0,325.0,4778.82,4776.47,2.35
239,APAP X-STR,2,0,2425.0,53.0,44.23,44.23,0.0
240,APIDRA 10M,66,0,18410.0,736.0,509493.6,506522.19,2971.4100000000003
241,APIDRA 3ML,10,0,33881.2,1757.0,1208080.8599999999,1208080.8599999999,0.0
242,APLENZIN 1,60,0,3410.0,105.0,200319.34,193846.34,6473.0
243,APLENZIN 3,60,0,5950.0,168.0,460509.35,419883.31,40626.04
244,APLENZIN E,60,0,4311.0,140.0,758196.99,713455.89,44741.1
245,APLISOL 1M,2,0,157.0,157.0,582.84,582.84,0.0
246,APRACLONID,30,0,436.0,69.0,5552.82,5291.87,260.95
247,APREPIT.CA,174,0,558.0,172.0,108940.74,107026.89,1913.8500000000001
248,APREPITANT,1404,0,3742.75,1977.0,1809662.1600000001,300650.07,1509012.0899999999
249,APRETUDE,46,0,3807.095,1280.0,4741105.15,4723723.95,17381.2
250,APRI 28 DA,116,0,108839.332,1332.0,27954.23,27950.67,3.56
251,APRISO,4,0,4410.0,29.0,13765.880000000001,13765.880000000001,0.0
252,APRODINE,166,0,91363.0,1947.0,25437.59,25436.04,1.55
253,APRODINE P,108,0,51080.0,984.0,12816.51,12816.51,0.0
254,APTIOM 200,60,0,18533.0,273.0,701808.63,689248.05,12560.58
255,APTIOM 400,60,0,40249.0,700.0,1533905.96,1500719.0899999999,33186.87
256,APTIOM 600,120,0,53801.0,883.0,2055949.6700000002,1978816.28,77133.39
257,APTIOM 800,60,0,76281.0,1572.0,2909052.48,2789865.79,119186.69
258,ARANELLE T,134,0,12620.846000000001,195.0,8007.68,8007.68,0.0
259,ARANESP  D,141,0,6709.519,9900.0,1433005.9300000002,1368549.94,64455.99
260,ARAZLO LOT,90,0,12555.0,278.0,139521.75,132222.8,7298.95
261,ARCALYST R,8,0,223.0,49.0,1147789.67,1147789.67,0.0
262,ARFORMOTER,801,0,58870.0,566.0,84375.24,78117.43,6257.81
263,ARIKAYCE,56,0,25.0,30.0,430399.11,430399.11,0.0
264,ARIPIPRAZO,4851,0,7504472.5,199279.0,5531111.68,5500126.93,30984.75
265,ARISTADA 1,6,0,6338.1,1630.0,5603679.03,5592160.699999999,11518.33
266,ARISTADA 4,12,0,1516.8000000000002,944.0,1440796.71,1389506.1800000002,51290.53
267,ARISTADA 6,12,0,2866.8,1192.0,2765235.8600000003,2573745.42,191490.44
268,ARISTADA 8,12,0,13408.0,4194.0,12209709.32,11998526.89,211182.43
269,ARISTADA I,6,0,530.4,221.0,507339.89,505366.0,1973.89
270,ARMODAFINI,1171,0,59026.0,1662.0,67522.84,66023.09,1499.75
271,ARMONAIR D,6,0,9.9,11.0,2991.48,2991.48,0.0
272,ARMOUR THY,16,0,583900.0,10148.0,765533.06,756245.89,9287.17
273,ARNUITY  F,20,0,12960.0,391.0,90291.15,86907.22,3383.93
274,ARNUITY EL,40,0,272130.0,7980.0,2112724.3099999996,2084356.4099999997,28367.9
275,ARORVASTAT,396,0,378740.0,5812.0,102736.07,102324.20999999999,411.86
276,ARSENIC TR,64,0,2999.3500000000004,322.0,229587.24000000002,99816.92000000001,129770.32
277,ARTHRITIS,164,0,1918.0,30.0,459.9,459.9,0.0
278,ARTIFICIAL,24,0,58696.0,3765.0,63871.38,63871.38,0.0
279,ASCLERA 1.,52,0,41.0,12.0,10.69,10.69,0.0
280,ASCOMP W/,2,0,11542.0,170.0,15566.62,15522.470000000001,44.15
281,ASENAPINE,859,0,181436.0,3567.0,594704.96,583312.6000000001,11392.36
282,ASHLYNA TA,186,0,58631.528000000006,626.0,25011.82,24971.71,40.11
283,ASMANEX HF,7,0,34541.0,2443.0,567945.29,561308.17,6637.12
284,ASMANEX TW,16,0,181.54500000000002,643.0,218844.09,211269.25,7574.84
285,ASPARLAS,1,0,75.429,60.0,380602.14,380602.14,0.0
286,ASPI&ER DI,120,0,3960.0,48.0,3490.0600000000004,3471.8100000000004,18.25
287,ASPIR+DIP,2,0,2113.0,43.0,2074.82,2074.82,0.0
288,ASPIRIN,8,0,66779.0,1537.0,17792.8,17790.92,1.8800000000000001
289,ASPIRIN &,120,0,1678.0,24.0,1524.85,1524.85,0.0
290,ASPIRIN 32,13,0,212822.69,4297.0,40129.04000000001,40129.030000000006,0.01
291,ASPIRIN 81,1066,0,7194356.0,118171.0,1088628.04,1088603.6300000001,24.41
292,ASPIRIN AN,136,0,10150.0,103.0,8675.84,8621.77,54.07
293,ASPIRIN CH,363,0,472110.0,9260.0,91149.2,91147.84,1.36
294,ASPIRIN DE,144,0,16350683.0,292644.0,2261093.93,2261065.65,28.28
295,ASPIRIN EC,8,0,259.0,243.0,348.93,348.93,0.0
296,ASPIRIN FC,126,0,130383.0,2855.0,33792.73,31469.97,2322.7599999999998
297,ASPIRIN LO,530,0,16995320.0,344925.0,3783859.66,3783828.57,31.090000000000003
298,ASTAGRAF X,365,0,8200.0,92.0,60393.92,60393.92,0.0
299,ATAZANAVIR,240,0,5760.0,130.0,17803.25,17357.05,446.2
300,ATENOL+CHL,4,0,5257.0,95.0,3104.0600000000004,3096.2300000000005,7.83
301,ATENOLOL +,3,0,9395.0,145.0,4927.15,4927.15,0.0
302,ATENOLOL 1,223,0,132641.0,2538.0,34071.57,34055.21,16.36
303,ATENOLOL 2,513,0,348164.0,7212.0,108191.56999999999,90843.2,17348.37
304,ATENOLOL 5,460,0,299305.6,5978.0,79629.22,79607.87,21.35
305,ATENOLOL C,40,0,13175.0,212.0,7052.110000000001,7052.110000000001,0.0
306,ATENOLOL O,70,0,553718.0,8715.0,112668.98999999999,112646.08000000002,22.91
307,ATENOLOL T,240,0,4294045.0,58554.0,728128.36,726344.36,1784.0
308,ATENOLOL/C,8,0,55832.0,819.0,27912.65,27720.54,192.11
309,ATHLETE'S,144,0,10975.8,320.0,6768.15,6768.15,0.0
310,ATIVAN 0.5,1,0,832.0,12.0,14933.46,14101.2,832.26
311,ATIVAN 1MG,2,0,454.0,29.0,11001.17,11001.17,0.0
312,ATIVAN INJ,103,0,1449.0,1165.0,29737.119999999995,3763.21,25973.91
313,ATOMOXETIN,2560,0,1728289.0,44512.0,1929995.2200000002,1894421.2,35574.020000000004
314,ATORVAST C,68,0,1317462.0,29874.0,415989.08999999997,415792.74,196.35000000000002
315,ATORVASTAS,3,0,10219.0,177.0,2340.0699999999997,2340.0699999999997,0.0
316,ATORVASTAT,9604,0,55059412.0,914274.0,12828505.11,12809201.44,19303.670000000002
317,ATOVAQ/PRO,58,0,3131.0,91.0,7990.95,7872.78,118.17
318,ATOVAQU OS,2,0,20406.0,79.0,22448.1,21854.199999999997,593.9
319,ATOVAQUONE,599,0,513600.6,2776.0,614760.69,605516.92,9243.77
320,ATROPINE 8,22,0,2406.875,87.0,7888.1,7888.1,0.0
321,ATROPINE D,42,0,41257.0,1017.0,20181.870000000003,20148.440000000002,33.43
322,ATROPINE I,48,0,250.45999999999998,215.0,78761.1,13417.79,65343.31
323,ATROPINE M,10,0,1360.0,34.0,151.21,151.21,0.0
324,ATROPINE O,110,0,182.06,53.0,1472.54,1436.81,35.73
325,ATROPINE S,560,0,48634.205,6941.0,598727.14,361014.37,237712.77
326,ATROVENT H,68,0,184569.6,12594.0,6410801.54,6323965.63,86835.91
327,AUBAGIO 14,8,0,13858.0,397.0,4055096.41,4055096.41,0.0
328,AUBAGIO 7,8,0,2800.0,89.0,819339.3,819339.3,0.0
329,AUBRA EQ,132,0,198908.178,1115.0,75374.67000000001,71089.69,4284.9800000000005
330,AUG BETAME,128,0,32675.0,654.0,32110.420000000002,31709.910000000003,400.51
331,AUGMENTIN,35,0,2800.0,14.0,16979.2,16979.2,0.0
332,AUROVELA 1,74,0,546.0,19.0,345.31,345.31,0.0
333,AUROVELA 2,88,0,784.0,12.0,441.96,441.96,0.0
334,AUROVELA_F,88,0,1400.0,21.0,383.71,383.71,0.0
335,AURYXIA OR,2,0,389953.0,1693.0,2745135.11,2732716.1100000003,12419.0
